Semantically enhanced software traceability using deep learning techniques.	Jin Guo 0004,Jinghui Cheng,Jane Cleland-Huang	10.1109/ICSE.2017.9
How do developers fix cross-project correlated bugs?: a case study on the GitHub scientific python ecosystem.	Wanwangying Ma,Lin Chen 0015,Xiangyu Zhang 0001,Yuming Zhou,Baowen Xu	10.1109/ICSE.2017.42
Exploring API embedding for API usages and applications.	Trong Duc Nguyen,Anh Tuan Nguyen 0001,Hung Dang Phan,Tien N. Nguyen	10.1109/ICSE.2017.47
Travioli: a dynamic analysis for detecting data-structure traversals.	Rohan Padhye,Koushik Sen	10.1109/ICSE.2017.50
Recommending and localizing change requests for mobile apps based on user reviews.	Fabio Palomba,Pasquale Salza,Adelina Ciurumelea,Sebastiano Panichella,Harald C. Gall,Filomena Ferrucci,Andrea De Lucia	10.1109/ICSE.2017.18
Evaluating and improving fault localization.	Spencer Pearson,José Campos,René Just,Gordon Fraser 0001,Rui Abreu 0001,Michael D. Ernst,Deric Pang,Benjamin Keller	10.1109/ICSE.2017.62
A test-suite diagnosability metric for spectrum-based fault localization approaches.	Alexandre Perez,Rui Abreu 0001,Arie van Deursen	10.1109/ICSE.2017.66
Supporting software developers with a holistic recommender system.	Luca Ponzanelli,Simone Scalabrino,Gabriele Bavota,Andrea Mocci,Rocco Oliveto,Massimiliano Di Penta,Michele Lanza	10.1109/ICSE.2017.17
Making malory behave maliciously: targeted fuzzing of android execution environments.	Siegfried Rasthofer,Steven Arzt,Stefan Triller,Michael Pradel	10.1109/ICSE.2017.35
Detecting user story information in developer-client conversations to generate extractive summaries.	Paige Rodeghero,Siyuan Jiang,Ameer Armaly,Collin McMillan	10.1109/ICSE.2017.13
Code defenders: crowdsourcing effective tests and subtle mutants with a mutation testing game.	José Miguel Rojas,Thomas D. White,Benjamin S. Clegg,Gordon Fraser 0001	10.1109/ICSE.2017.68
Learning syntactic program transformations from examples.	Reudismam Rolim,Gustavo Soares,Loris D&apos;Antoni,Oleksandr Polozov,Sumit Gulwani,Rohit Gheyi,Ryo Suzuki,Björn Hartmann	10.1109/ICSE.2017.44
On cross-stack configuration errors.	Mohammed Sayagh,Noureddine Kerzazi,Bram Adams	10.1109/ICSE.2017.31
Software development waste.	Todd Sedano,Paul Ralph,Cécile Péraire	10.1109/ICSE.2017.20
Fuzzy fine-grained code-history analysis.	Francisco Servant,James A. Jones	10.1109/ICSE.2017.74
Optimizing test placement for module-level regression testing.	August Shi,Suresh Thummalapenta,Shuvendu K. Lahiri,Nikolaj S. Bjørner,Jacek Czerwonka	10.1109/ICSE.2017.69
A guided genetic algorithm for automated crash reproduction.	Mozhan Soltani,Annibale Panichella,Arie van Deursen	10.1109/ICSE.2017.27
Performance diagnosis for inefficient loops.	Linhai Song,Shan Lu 0001	10.1109/ICSE.2017.41
Balancing soundness and efficiency for practical testing of configurable systems.	Sabrina Souto,Marcelo d&apos;Amorim,Rohit Gheyi	10.1109/ICSE.2017.64
ProEva: runtime proactive performance evaluation based on continuous-time markov chains.	Guoxin Su,Taolue Chen,Yuan Feng 0001,David S. Rosenblum	10.1109/ICSE.2017.51
Search-driven string constraint solving for vulnerability detection.	Julian Thomé,Lwin Khin Shar,Domenico Bianculli,Lionel C. Briand	10.1109/ICSE.2017.26
Clone refactoring with lambda expressions.	Nikolaos Tsantalis,Davood Mazinanian,Shahriar Rostami	10.1109/ICSE.2017.14
An efficient, robust, and scalable approach for analyzing interacting android apps.	Yutaka Tsutano,Shakthi Bachala,Witawas Srisa-an,Gregg Rothermel,Jackson Dinh	10.1109/ICSE.2017.37
Syntactic and semantic differencing for combinatorial models of test designs.	Rachel Tzoref-Brill,Shahar Maoz	10.1109/ICSE.2017.63
Machine learning-based detection of open source license exceptions.	Christopher Vendome,Mario Linares Vásquez,Gabriele Bavota,Massimiliano Di Penta,Daniel M. Germán,Denys Poshyvanyk	10.1109/ICSE.2017.19
Statically checking web API requests in JavaScript.	Erik Wittern,Annie T. T. Ying,Yunhui Zheng,Julian Dolby,Jim Alain Laredo	10.1109/ICSE.2017.30
Precise condition synthesis for program repair.	Yingfei Xiong 0001,Jie Wang,Runfa Yan,Jiachen Zhang,Shi Han,Gang Huang 0001,Lu Zhang 0023	10.1109/ICSE.2017.45
SPAIN: security patch analysis for binaries towards understanding the pain and pills.	Zhengzi Xu,Bihuan Chen 0001,Mahinthan Chandramohan,Yang Liu 0003,Fu Song	10.1109/ICSE.2017.49
Adaptive unpacking of Android apps.	Lei Xue 0001,Xiapu Luo,Le Yu 0002,Shuai Wang 0012,Dinghao Wu	10.1109/ICSE.2017.40
Automated transplantation and differential testing for clones.	Tianyi Zhang 0001,Miryung Kim	10.1109/ICSE.2017.67
RClassify: classifying race conditions in web applications via deterministic replay.	Lu Zhang 0035,Chao Wang 0001	10.1109/ICSE.2017.33
Analyzing APIs documentation and code to detect directive defects.	Yu Zhou 0010,Ruihang Gu,Taolue Chen,Zhiqiu Huang,Sebastiano Panichella,Harald C. Gall	10.1109/ICSE.2017.11
Proceedings of the 39th International Conference on Software Engineering, ICSE 2017, Buenos Aires, Argentina, May 20-28, 2017	Sebastián Uchitel,Alessandro Orso,Martin P. Robillard	
