Low-Latency Analytics on Colossal Data Streams with SummaryStore.	Nitin Agrawal 0001,Ashish Vulimiri	10.1145/3132747.3132758
Optimizing Big-Data Queries Using Program Synthesis.	Matthias Schlaipfer,Kaushik Rajan,Akash Lal,Malavika Samak	10.1145/3132747.3132773
WatchIT: Who Watches Your IT Guy?	Noam Shalev,Idit Keidar,Yaron Weinsberg,Yosef Moatti,Elad Ben-Yehuda	10.1145/3132747.3132752
The Efficient Server Audit Problem, Deduplicated Re-execution, and the Web.	Cheng Tan 0005,Lingfan Yu,Joshua B. Leners,Michael Walfish	10.1145/3132747.3132760
LITE Kernel RDMA Support for Datacenter Applications.	Shin-Yeh Tsai,Yiying Zhang 0005	10.1145/3132747.3132762
Stadium: A Distributed Metadata-Private Messaging System.	Nirvan Tyagi,Yossi Gilad,Derek Leung,Matei Zaharia,Nickolai Zeldovich	10.1145/3132747.3132783
Drizzle: Fast and Adaptable Stream Processing at Scale.	Shivaram Venkataraman,Aurojit Panda,Kay Ousterhout,Michael Armbrust,Ali Ghodsi 0002,Michael J. Franklin,Benjamin Recht,Ion Stoica	10.1145/3132747.3132750
NOVA-Fortis: A Fault-Tolerant Non-Volatile Main Memory File System.	Jian Xu 0012,Lu Zhang,Amir Saman Memaripour,Akshatha Gangadharaiah,Amit Borase,Tamires Brito Da Silva,Steven Swanson,Andy Rudoff	10.1145/3132747.3132761
Sub-millisecond Stateful Stream Querying over Fast-evolving Linked Data.	Yunhao Zhang,Rong Chen 0001,Haibo Chen 0001	10.1145/3132747.3132777
Pensieve: Non-Intrusive Failure Reproduction for Distributed Systems using the Event Chaining Approach.	Yongle Zhang,Serguei Makarov,Xiang Ren 0003,David Lion,Ding Yuan 0004	10.1145/3132747.3132768
Log20: Fully Automated Optimal Placement of Log Printing Statements under Specified Overhead Threshold.	Xu Zhao,Kirk Rodrigues,Yu Luo,Michael Stumm,Ding Yuan 0004,Yuanyuan Zhou 0001	10.1145/3132747.3132778
Proceedings of the 26th Symposium on Operating Systems Principles, Shanghai, China, October 28-31, 2017		
